Standard,Version Number,Effective Date,Category Number,,Requirement Number,Requirement Description,Requirement Simple Description,Ratings,Rating Description
NIST SP 800-53,3,4/14/2017,10,Media Protection,3,"The organization: Marks, in accordance with organizational policies and procedures, removable information system media and information system output indicating the distribution limitations, handling caveats, and applicable security markings (if any) of the information; and Exempts [ Assignment: organization-defined list of removable media types ] from marking as long as the exempted items remain within [ Assignment: organization-defined controlled areas ]. ",Media Marking,,
NIST SP 800-53,3,4/14/2017,10,Media Protection,4,"The organization: Physically controls and securely stores [ Assignment: organization-defined types of digital and non-digital media ] within [ Assignment: organization-defined controlled areas ] using [ Assignment: organization-defined security measures ]; Protects information system media until the media are destroyed or sanitized using approved equipment, techniques, and procedures ",Media Storage,,
NIST SP 800-53,3,4/14/2017,10,Media Protection,5,The organization: Protects and controls [ Assignment: organization-defined types of digital and non-digital media ] during transport outside of controlled areas using [ Assignment: organization-defined security measures ]; Maintains accountability for information system media during transport outside of controlled areas; and Restricts the activities associated with transport of such media to authorized personnel. ,Media Transport,,
NIST SP 800-53,3,4/14/2017,10,Media Protection,6,"The organization: Sanitizes information system media, both digital and non-digital, prior to disposal, release out of organizational control, or release for reuse; and Employs sanitization mechanisms with strength and integrity commensurate with the classification or sensitivity of the information. ",Media Sanitization,,
NIST SP 800-53,3,4/14/2017,11,Physical and Environmental Protection,1,"The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented physical and environmental protection policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and Formal, documented procedures to facilitate the implementation of the physical and environmental protection policy and associated physical and environmental protection controls. ",Physical and Environmental Protection Policy and Procedures,,
NIST SP 800-53,3,4/14/2017,11,Physical and Environmental Protection,2,"The organization: Develops and keeps current a list of personnel with authorized access to the facility where the information system resides (except for those areas within the facility officially designated as publicly accessible); Issues authorization credentials; Reviews and approves the access list and authorization credentials [ Assignment: organization-defined frequency ], removing from the access list personnel no longer requiring access. ",Physical Access Authorizations,,
NIST SP 800-53,3,4/14/2017,11,Physical and Environmental Protection,3,"The organization: Enforces physical access authorizations for all physical access points (including designated entry/exit points) to the facility where the information system resides (excluding those areas within the facility officially designated as publicly accessible); Verifies individual access authorizations before granting access to the facility; Controls entry to the facility containing the information system using physical access devices and/or guards; Controls access to areas officially designated as publicly accessible in accordance with the organizations assessment of risk; Secures keys, combinations, and other physical access devices; Inventories physical access devices [ Assignment: organization-defined frequency ]; and Changes combinations and keys [ Assignment: organization-defined frequency ] and when keys are lost, combinations are compromised, or individuals are transferred or terminated. ",Physical Access Control,,
NIST SP 800-53,3,4/14/2017,11,Physical and Environmental Protection,4,The organization controls physical access to information system distribution and transmission lines within organizational facilities. ,Access Control for Transmission Medium,,
NIST SP 800-53,3,4/14/2017,11,Physical and Environmental Protection,5,The organization controls physical access to information system output devices to prevent unauthorized individuals from obtaining the output. ,Access Control for Output Devices,,
NIST SP 800-53,3,4/14/2017,11,Physical and Environmental Protection,6,The organization: Monitors physical access to the information system to detect and respond to physical security incidents; Reviews physical access logs [ Assignment: organization-defined frequency ]; and Coordinates results of reviews and investigations with the organizations incident response capability. ,Monitoring Physical Access,,
NIST SP 800-53,3,4/14/2017,11,Physical and Environmental Protection,7,The organization controls physical access to the information system by authenticating visitors before authorizing access to the facility where the information system resides other than areas designated as publicly accessible. ,Visitor Control,,
NIST SP 800-53,3,4/14/2017,11,Physical and Environmental Protection,8,The organization: Maintains visitor access records to the facility where the information system resides (except for those areas within the facility officially designated as publicly accessible); and Reviews visitor access records [ Assignment: organization-defined frequency ]. ,Access Records,,
NIST SP 800-53,3,4/14/2017,11,Physical and Environmental Protection,9,The organization protects power equipment and power cabling for the information system from damage and destruction. ,Power Equipment and Power Cabling,,
NIST SP 800-53,3,4/14/2017,11,Physical and Environmental Protection,10,The organization: Provides the capability of shutting off power to the information system or individual system components in emergency situations; Places emergency shutoff switches or devices in [ Assignment: organization-defined location by information system or system component ] to facilitate safe and easy access for personnel; and Protects emergency power shutoff capability from unauthorized activation. ,Emergency Shutoff,,
NIST SP 800-53,3,4/14/2017,11,Physical and Environmental Protection,11,The organization provides a short-term uninterruptible power supply to facilitate an orderly shutdown of the information system in the event of a primary power source loss. ,Emergency Power,,
NIST SP 800-53,3,4/14/2017,11,Physical and Environmental Protection,12,The organization employs and maintains automatic emergency lighting for the information system that activates in the event of a power outage or disruption and that covers emergency exits and evacuation routes within the facility. ,Emergency Lighting,,
NIST SP 800-53,3,4/14/2017,11,Physical and Environmental Protection,13,The organization employs and maintains fire suppression and detection devices/systems for the information system that are supported by an independent energy source. ,Fire Protection,,
NIST SP 800-53,3,4/14/2017,11,Physical and Environmental Protection,14,The organization: Maintains temperature and humidity levels within the facility where the information system resides at [ Assignment: organization-defined acceptable levels ]; and Monitors temperature and humidity levels [ Assignment: organization-defined frequency ]. ,Temperature and Humidity Controls,,
NIST SP 800-53,3,4/14/2017,11,Physical and Environmental Protection,15,"The organization protects the information system from damage resulting from water leakage by providing master shutoff valves that are accessible, working properly, and known to key personnel. ",Water Damage Protection,,
NIST SP 800-53,3,4/14/2017,11,Physical and Environmental Protection,16,"The organization authorizes, monitors, and controls [ Assignment: organization-defined types of information system components ] entering and exiting the facility and maintains records of those items. ",Delivery and Removal,,
NIST SP 800-53,3,4/14/2017,11,Physical and Environmental Protection,17,"The organization: Employs [ Assignment: organization-defined management, operational, and technical information system security controls ] at alternate work sites; Assesses as feasible, the effectiveness of security controls at alternate work sites; and Provides a means for employees to communicate with information security personnel in case of security incidents or problems. ",Alternate Work Site,,
NIST SP 800-53,3,4/14/2017,11,Physical and Environmental Protection,18,The organization positions information system components within the facility to minimize potential damage from physical and environmental hazards and to minimize the opportunity for unauthorized access. ,Location of Information System Components,,
NIST SP 800-53,3,4/14/2017,11,Physical and Environmental Protection,19,The organization protects the information system from information leakage due to electromagnetic signals emanations. ,Information Leakage,,
NIST SP 800-53,3,4/14/2017,12,Planning,1,"The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented security planning policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and Formal, documented procedures to facilitate the implementation of the security planning policy and associated security planning controls. ",Security Planning Policy and Procedures,,
NIST SP 800-53,3,4/14/2017,12,Planning,2,The organization: Develops a security plan for the information system that: - Is consistent with the organizations enterprise architecture; - Explicitly defines the authorization boundary for the system; - Describes the operational context of the information system in terms of missions and business processes; - Provides the security categorization of the information system including supporting rationale; - Describes the operational environment for the information system; - Describes relationships with or connections to other information systems; - Provides an overview of the security requirements for the system; - Describes the security controls in place or planned for meeting those requirements including a rationale for the tailoring and supplementation decisions; and - Is reviewed and approved by the authorizing official or designated representative prior to plan implementation; Reviews the security plan for the information system [ Assignment: organization-defined frequency ]; and Updates the plan to address changes to the information system/environment of operation or problems identified during plan implementation or security control assessments. ,System Security Plan,,
NIST SP 800-53,3,4/14/2017,12,Planning,3,[ Withdrawn: Incorporated into PL-2 ]. ,System Security Plan Update,,
NIST SP 800-53,3,4/14/2017,12,Planning,4,"The organization: Establishes and makes readily available to all information system users, the rules that describe their responsibilities and expected behavior with regard to information and information system usage; and Receives signed acknowledgment from users indicating that they have read, understand, and agree to abide by the rules of behavior, before authorizing access to information and the information system. ",Rules of Behavior,,
NIST SP 800-53,3,4/14/2017,12,Planning,5,The organization conducts a privacy impact assessment on the information system in accordance with OMB policy. ,Privacy Impact Assessment,,
NIST SP 800-53,3,4/14/2017,12,Planning,6,"The organization plans and coordinates security-related activities affecting the information system before conducting such activities in order to reduce the impact on organizational operations (i.e., mission, functions, image, and reputation), organizational assets, and individuals. ",Security-related Activity Planning,,
NIST SP 800-53,3,4/14/2017,13,Program Management,1,"The organization: Develops and disseminates an organization-wide information security program plan that: - Provides an overview of the requirements for the security program and a description of the security program management controls and common controls in place or planned for meeting those requirements; - Provides sufficient information about the program management controls and common controls (including specification of parameters for any assignment and selection operations either explicitly or by reference) to enable an implementation that is unambiguously compliant with the intent of the plan and a determination of the risk to be incurred if the plan is implemented as intended; - Includes roles, responsibilities, management commitment, coordination among organizational entities, and compliance; - Is approved by a senior official with responsibility and accountability for the risk being incurred to organizational operations (including mission, functions, image, and reputation), organizational assets, individuals, other organizations, and the Nation; Reviews the organization-wide information security program plan [ Assignment: organization-defined frequency ]; and Revises the plan to address organizational changes and problems identified during plan implementation or security control assessments. ",Information Security Program Plan,,
NIST SP 800-53,3,4/14/2017,13,Program Management,2,"The organization appoints a senior information security officer with the mission and resources to coordinate, develop, implement, and maintain an organization-wide information security program. ",Senior Information Security Officer,,
NIST SP 800-53,3,4/14/2017,13,Program Management,3,The organization: Ensures that all capital planning and investment requests include the resources needed to implement the information security program and documents all exceptions to this requirement; Employs a business case/Exhibit 300/Exhibit 53 to record the resources required; and Ensures that information security resources are available for expenditure as planned. ,Information Security Resources,,
NIST SP 800-53,3,4/14/2017,13,Program Management,4,"The organization implements a process for ensuring that plans of action and milestones for the security program and the associated organizational information systems are maintained and document the remedial information security actions to mitigate risk to organizational operations and assets, individuals, other organizations, and the Nation. ",Plan of Action and Milestones Process,,
NIST SP 800-53,3,4/14/2017,13,Program Management,5,The organization develops and maintains an inventory of its information systems. ,Information System Inventory,,
NIST SP 800-53,3,4/14/2017,13,Program Management,6,"The organization develops, monitors, and reports on the results of information security measures of performance. ",Information Security Measures of Performance,,
NIST SP 800-53,3,4/14/2017,13,Program Management,7,"The organization develops an enterprise architecture with consideration for information security and the resulting risk to organizational operations, organizational assets, individuals, other organizations, and the Nation. ",Enterprise Architecture,,
NIST SP 800-53,3,4/14/2017,13,Program Management,8,"The organization addresses information security issues in the development, documentation, and updating of a critical infrastructure and key resources protection plan. ",Critical Infrastructure Plan,,
NIST SP 800-53,3,4/14/2017,13,Program Management,9,"The organization: Develops a comprehensive strategy to manage risk to organizational operations and assets, individuals, other organizations, and the Nation associated with the operation and use of information systems; and Implements that strategy consistently across the organization. ",Risk Management Strategy,,
NIST SP 800-53,3,4/14/2017,13,Program Management,10,"The organization: Manages (i.e., documents, tracks, and reports) the security state of organizational information systems through security authorization processes; Designates individuals to fulfill specific roles and responsibilities within the organizational risk management process; and Fully integrates the security authorization processes into an organization-wide risk management program. ",Security Authorization Process,,
NIST SP 800-53,3,4/14/2017,13,Program Management,11,"The organization: Defines mission/business processes with consideration for information security and the resulting risk to organizational operations, organizational assets, individuals, other organizations, and the Nation; and Determines information protection needs arising from the defined mission/business processes and revises the processes as necessary, until an achievable set of protection needs is obtained. ",Mission/business Process Definition,,
NIST SP 800-53,3,4/14/2017,14,Personnel Security,1,"The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented personnel security policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and Formal, documented procedures to facilitate the implementation of the personnel security policy and associated personnel security controls. ",Personnel Security Policy and Procedures,,
NIST SP 800-53,3,4/14/2017,14,Personnel Security,2,The organization: Assigns a risk designation to all positions; Establishes screening criteria for individuals filling those positions; and Reviews and revises position risk designations [ Assignment: organization-defined frequency ]. ,Position Categorization,,
NIST SP 800-53,3,4/14/2017,14,Personnel Security,3,"The organization: Screens individuals prior to authorizing access to the information system; and Rescreens individuals according to [ Assignment: organization-defined list of conditions requiring rescreening and, where re-screening is so indicated, the frequency of such rescreening ]. ",Personnel Screening,,
NIST SP 800-53,3,4/14/2017,14,Personnel Security,4,"The organization, upon termination of individual employment: Terminates information system access; Conducts exit interviews; Retrieves all security-related organizational information system-related property; and Retains access to organizational information and information systems formerly controlled by terminated individual. ",Personnel Termination,,
NIST SP 800-53,3,4/14/2017,14,Personnel Security,5,The organization reviews logical and physical access authorizations to information systems/facilities when personnel are reassigned or transferred to other positions within the organization and initiates [ Assignment: organization-defined transfer or reassignment actions ] within [ Assignment: organization-defined time period following the formal transfer action ]. ,Personnel Transfer,,
NIST SP 800-53,3,4/14/2017,14,Personnel Security,6,The organization: Ensures that individuals requiring access to organizational information and information systems sign appropriate access agreements prior to being granted access; and Reviews/updates the access agreements [ Assignment: organization-defined frequency ]. ,Access Agreements,,
NIST SP 800-53,3,4/14/2017,14,Personnel Security,7,The organization: Establishes personnel security requirements including security roles and responsibilities for third-party providers; Documents personnel security requirements; and Monitors provider compliance. ,Third-party Personnel Security,,
NIST SP 800-53,3,4/14/2017,14,Personnel Security,8,The organization employs a formal sanctions process for personnel failing to comply with established information security policies and procedures. ,Personnel Sanctions,,
NIST SP 800-53,3,4/14/2017,15,Risk Assessment,1,"The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented risk assessment policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and Formal, documented procedures to facilitate the implementation of the risk assessment policy and associated risk assessment controls. ",Risk Assessment Policy and Procedures,,
NIST SP 800-53,3,4/14/2017,15,Risk Assessment,2,"The organization: Categorizes information and the information system in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance; Documents the security categorization results (including supporting rationale) in the security plan for the information system; and Ensures the security categorization decision is reviewed and approved by the authorizing official or authorizing official designated representative. ",Security Categorization,,
NIST SP 800-53,3,4/14/2017,15,Risk Assessment,3,"The organization: Conducts an assessment of risk, including the likelihood and magnitude of harm, from the unauthorized access, use, disclosure, disruption, modification, or destruction of the information system and the information it processes, stores, or transmits; Documents risk assessment results in [ Selection: security plan; risk assessment report; [ Assignment: organization-defined document ]]; Reviews risk assessment results [ Assignment: organization-defined frequency ]; and Updates the risk assessment [ Assignment: organization-defined frequency ] or whenever there are significant changes to the information system or environment of operation (including the identification of new threats and vulnerabilities), or other conditions that may impact the security state of the system. ",Risk Assessment,,
NIST SP 800-53,3,4/14/2017,15,Risk Assessment,4,[ Withdrawn: Incorporated into RA-3 ]. ,Risk Assessment Update,,
NIST SP 800-53,3,4/14/2017,15,Risk Assessment,5,"The organization: Scans for vulnerabilities in the information system and hosted applications [ Assignment: organization-defined frequency and/or randomly in accordance with organization-defined process ] and when new vulnerabilities potentially affecting the system/applications are identified and reported; Employs vulnerability scanning tools and techniques that promote interoperability among tools and automate parts of the vulnerability management process by using standards for: Enumerating platforms, software flaws, and improper configurations; Formatting and making transparent, checklists and test procedures; and Measuring vulnerability impact; Analyzes vulnerability scan reports and results from security control assessments; Remediates legitimate vulnerabilities [ Assignment: organization-defined response times ] in accordance with an organizational assessment of risk; and Shares information obtained from the vulnerability scanning process and security control assessments with designated personnel throughout the organization to help eliminate similar vulnerabilities in other information systems (i.e., systemic weaknesses or deficiencies). ",Vulnerability Scanning,,
NIST SP 800-53,3,4/14/2017,16,System and Services Acquisition,1,"The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented system and services acquisition policy that includes information security considerations and that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and Formal, documented procedures to facilitate the implementation of the system and services acquisition policy and associated system and services acquisition controls. ",System and Services Acquisition Policy and Procedures,,
NIST SP 800-53,3,4/14/2017,16,System and Services Acquisition,2,"The organization: Includes a determination of information security requirements for the information system in mission/business process planning; Determines, documents, and allocates the resources required to protect the information system as part of its capital planning and investment control process; and Establishes a discrete line item for information security in organizational programming and budgeting documentation. ",Allocation of Resources,,
NIST SP 800-53,3,4/14/2017,16,System and Services Acquisition,3,The organization: Manages the information system using a system development life cycle methodology that includes information security considerations; Defines and documents information system security roles and responsibilities throughout the system development life cycle; and Identifies individuals having information system security roles and responsibilities. ,Life Cycle Support,,
NIST SP 800-53,3,4/14/2017,16,System and Services Acquisition,4,"The organization includes the following requirements and/or specifications, explicitly or by reference, in information system acquisition contracts based on an assessment of risk and in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, and standards: Security functional requirements/specifications; Security-related documentation requirements; and Developmental and evaluation-related assurance requirements. ",Acquisitions,,
NIST SP 800-53,3,4/14/2017,16,System and Services Acquisition,5,"The organization: Obtains, protects as required, and makes available to authorized personnel, administrator documentation for the information system that describes: Secure configuration, installation, and operation of the information system; Effective use and maintenance of security features/functions; and Known vulnerabilities regarding configuration and use of administrative (i.e., privileged) functions; and Obtains, protects as required, and makes available to authorized personnel, user documentation for the information system that describes: User-accessible security features/functions and how to effectively use those security features/functions; Methods for user interaction with the information system, which enables individuals to use the system in a more secure manner; and User responsibilities in maintaining the security of the information and information system; and Documents attempts to obtain information system documentation when such documentation is either unavailable or nonexistent. ",Information System Documentation,,
NIST SP 800-53,3,4/14/2017,16,System and Services Acquisition,6,"The organization: Uses software and associated documentation in accordance with contract agreements and copyright laws; Employs tracking systems for software and associated documentation protected by quantity licenses to control copying and distribution; and Controls and documents the use of peer-to-peer file sharing technology to ensure that this capability is not used for the unauthorized distribution, display, performance, or reproduction of copyrighted work. ",Software Usage Restrictions,,
NIST SP 800-53,3,4/14/2017,16,System and Services Acquisition,7,The organization enforces explicit rules governing the installation of software by users. ,User-installed Software,,
NIST SP 800-53,3,4/14/2017,16,System and Services Acquisition,8,"The organization applies information system security engineering principles in the specification, design, development, implementation, and modification of the information system. ",Security Engineering Principles,,
NIST SP 800-53,3,4/14/2017,16,System and Services Acquisition,9,"The organization: Requires that providers of external information system services comply with organizational information security requirements and employ appropriate security controls in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance; Defines and documents government oversight and user roles and responsibilities with regard to external information system services; and Monitors security control compliance by external service providers. ",External Information System Services,,
NIST SP 800-53,3,4/14/2017,16,System and Services Acquisition,10,"The organization requires that information system developers/integrators: Perform configuration management during information system design, development, implementation, and operation; Manage and control changes to the information system; Implement only organization-approved changes; Document approved changes to the information system; and Track security flaws and flaw resolution. ",Developer Configuration Management,,
NIST SP 800-53,3,4/14/2017,16,System and Services Acquisition,11,"The organization requires that information system developers/integrators, in consultation with associated security personnel (including security engineers): Create and implement a security test and evaluation plan; Implement a verifiable flaw remediation process to correct weaknesses and deficiencies identified during the security testing and evaluation process; and Document the results of the security testing/evaluation and flaw remediation processes. ",Developer Security Testing,,
NIST SP 800-53,3,4/14/2017,16,System and Services Acquisition,12,"The organization protects against supply chain threats by employing: [ Assignment: organization-defined list of measures to protect against supply chain threats ] as part of a comprehensive, defense-in-breadth information security strategy. ",Supply Chain Protection,,
NIST SP 800-53,3,4/14/2017,16,System and Services Acquisition,13,The organization requires that the information system meets [ Assignment: organization-defined level of trustworthiness ]. ,Trustworthiness,,
NIST SP 800-53,3,4/14/2017,16,System and Services Acquisition,14,The organization: Determines [ Assignment: organization-defined list of critical information system components that require re-implementation ]; and Re-implements or custom develops such information system components. ,Critical Information System Components,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,1,"The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented system and communications protection policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and Formal, documented procedures to facilitate the implementation of the system and communications protection policy and associated system and communications protection controls. ",System and Communications Protection Policy and Procedures,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,2,The information system separates user functionality (including user interface services) from information system management functionality. ,Application Partitioning,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,3,The information system isolates security functions from nonsecurity functions. ,Security Function Isolation,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,4,The information system prevents unauthorized and unintended information transfer via shared system resources. ,Information In Shared Resources,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,5,The information system protects against or limits the effects of the following types of denial of service attacks: [ Assignment: organization-defined list of types of denial of service attacks or reference to source for current list ]. ,Denial of Service Protection,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,6,The information system limits the use of resources by priority. ,Resource Priority,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,7,The information system: Monitors and controls communications at the external boundary of the system and at key internal boundaries within the system; and Connects to external networks or information systems only through managed interfaces consisting of boundary protection devices arranged in accordance with an organizational security architecture. ,Boundary Protection,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,8,The information system protects the integrity of transmitted information. ,Transmission Integrity,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,9,The information system protects the confidentiality of transmitted information. ,Transmission Confidentiality,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,10,The information system terminates the network connection associated with a communications session at the end of the session or after [ Assignment: organization-defined time period ] of inactivity. ,Network Disconnect,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,11,"The information system establishes a trusted communications path between the user and the following security functions of the system: [ Assignment: organization-defined security functions to include at a minimum, information system authentication and reauthentication ]. ",Trusted Path,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,12,The organization establishes and manages cryptographic keys for required cryptography employed within the information system. ,Cryptographic Key Establishment and Management,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,13,"The information system implements required cryptographic protections using cryptographic modules that comply with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance. ",Use of Cryptography,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,14,The information system protects the integrity and availability of publicly available information and applications. ,Public Access Protections,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,15,The information system: Prohibits remote activation of collaborative computing devices with the following exceptions: [ Assignment: organization-defined exceptions where remote activation is to be allowed ]; and Provides an explicit indication of use to users physically present at the devices. ,Collaborative Computing Devices,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,16,The information system associates security attributes with information exchanged between information systems. ,Transmission of Security Attributes,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,17,The organization issues public key certificates under an [ Assignment: organization-defined certificate policy ] or obtains public key certificates under an appropriate certificate policy from an approved service provider. ,Public Key Infrastructure Certificates,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,18,"The organization: Defines acceptable and unacceptable mobile code and mobile code technologies; Establishes usage restrictions and implementation guidance for acceptable mobile code and mobile code technologies; and Authorizes, monitors, and controls the use of mobile code within the information system. ",Mobile Code,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,19,"The organization: Establishes usage restrictions and implementation guidance for Voice over Internet Protocol (VoIP) technologies based on the potential to cause damage to the information system if used maliciously; and Authorizes, monitors, and controls the use of VoIP within the information system. ",Voice Over Internet Protocol,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,20,The information system provides additional data origin and integrity artifacts along with the authoritative data the system returns in response to name/address resolution queries. ,Secure Name / Address Resolution Service (Authoritative Source),,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,21,The information system performs data origin authentication and data integrity verification on the name/address resolution responses the system receives from authoritative sources when requested by client systems. ,Secure Name / Address Resolution Service (Recursive Or Caching Resolver),,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,22,The information systems that collectively provide name/address resolution service for an organization are fault-tolerant and implement internal/external role separation. ,Architecture and Provisioning for Name / Address Resolution Service,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,23,The information system provides mechanisms to protect the authenticity of communications sessions. ,Session Authenticity,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,24,The information system fails to a [ Assignment: organization-defined known-state ] for [ Assignment: organization-defined types of failures ] preserving [ Assignment: organization-defined system state information ] in failure. ,Fail In Known State,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,25,The information system employs processing components that have minimal functionality and information storage. ,Thin Nodes,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,26,"The information system includes components specifically designed to be the target of malicious attacks for the purpose of detecting, deflecting, and analyzing such attacks. ",Honeypots,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,27,The information system includes: [ Assignment: organization-defined operating system-independent applications ]. ,Operating System-independent Applications,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,28,The information system protects the confidentiality and integrity of information at rest. ,Protection of Information At Rest,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,29,The organization employs diverse information technologies in the implementation of the information system. ,Heterogeneity,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,30,"The organization employs virtualization techniques to present information system components as other types of components, or components with differing configurations. ",Virtualization Techniques,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,31,The organization requires that information system developers/integrators perform a covert channel analysis to identify those aspects of system communication that are potential avenues for covert storage and timing channels. ,Covert Channel Analysis,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,32,The organization partitions the information system into components residing in separate physical domains (or environments) as deemed necessary. ,Information System Partitioning,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,33,"The information system protects the integrity of information during the processes of data aggregation, packaging, and transformation in preparation for transmission. ",Transmission Preparation Integrity,,
NIST SP 800-53,3,4/14/2017,17,System and Communications Protection,34,"The information system at [ Assignment: organization-defined information system components ]: Loads and executes the operating environment from hardware-enforced, read-only media; and Loads and executes [ Assignment: organization-defined applications ] from hardware-enforced, read-only media. ",Non-modifiable Executable Programs,,
NIST SP 800-53,3,4/14/2017,18,System and Information Integrity,1,"The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented system and information integrity policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and Formal, documented procedures to facilitate the implementation of the system and information integrity policy and associated system and information integrity controls. ",System and Information Integrity Policy and Procedures,,
NIST SP 800-53,3,4/14/2017,18,System and Information Integrity,2,"The organization: Identifies, reports, and corrects information system flaws; Tests software updates related to flaw remediation for effectiveness and potential side effects on organizational information systems before installation; and Incorporates flaw remediation into the organizational configuration management process. ",Flaw Remediation,,
NIST SP 800-53,3,4/14/2017,18,System and Information Integrity,3,"The organization: Employs malicious code protection mechanisms at information system entry and exit points and at workstations, servers, or mobile computing devices on the network to detect and eradicate malicious code: - Transported by electronic mail, electronic mail attachments, web accesses, removable media, or other common means; or - Inserted through the exploitation of information system vulnerabilities; Updates malicious code protection mechanisms (including signature definitions) whenever new releases are available in accordance with organizational configuration management policy and procedures; Configures malicious code protection mechanisms to: - Perform periodic scans of the information system [ Assignment: organization-defined frequency ] and real-time scans of files from external sources as the files are downloaded, opened, or executed in accordance with organizational security policy; and - [ Selection (one or more): block malicious code; quarantine malicious code; send alert to administrator; [ Assignment: organization-defined action ]] in response to malicious code detection; and Addresses the receipt of false positives during malicious code detection and eradication and the resulting potential impact on the availability of the information system. ",Malicious Code Protection,,
NIST SP 800-53,3,4/14/2017,18,System and Information Integrity,4,"The organization: Monitors events on the information system in accordance with [ Assignment: organization-defined monitoring objectives ] and detects information system attacks; Identifies unauthorized use of the information system; Deploys monitoring devices: (i) strategically within the information system to collect organization-determined essential information; and (ii) at ad hoc locations within the system to track specific types of transactions of interest to the organization; Heightens the level of information system monitoring activity whenever there is an indication of increased risk to organizational operations and assets, individuals, other organizations, or the Nation based on law enforcement information, intelligence information, or other credible sources of information; and Obtains legal opinion with regard to information system monitoring activities in accordance with applicable federal laws, Executive Orders, directives, policies, or regulations. ",Information System Monitoring,,
NIST SP 800-53,3,4/14/2017,18,System and Information Integrity,5,"The organization: Receives information system security alerts, advisories, and directives from designated external organizations on an ongoing basis; Generates internal security alerts, advisories, and directives as deemed necessary; Disseminates security alerts, advisories, and directives to [ Assignment: organization-defined list of personnel (identified by name and/or by role) ]; and Implements security directives in accordance with established time frames, or notifies the issuing organization of the degree of noncompliance. ","Security Alerts, Advisories, and Directives",,
NIST SP 800-53,3,4/14/2017,18,System and Information Integrity,6,The information system verifies the correct operation of security functions [ Selection (one or more): [ Assignment: organization-defined system transitional states ] ; upon command by user with appropriate privilege; periodically every [ Assignment: organization-defined time-period ]] and [ Selection (one or more): notifies system administrator; shuts the system down; restarts the system; [ Assignment: organization-defined alternative action(s) ]] when anomalies are discovered. ,Security Functionality Verification,,
NIST SP 800-53,3,4/14/2017,18,System and Information Integrity,7,The information system detects unauthorized changes to software and information. ,Software and Information Integrity,,
